,P_Surplus,Confidence,Signal,Volume_MWh,ID_Price_RON,Imb_Price_Pos,Imb_Price_Neg,PnL_RON,Cumulative_PnL_RON,Actual_Imb_Volume,Actual_Sign,Prediction_Correct
2024-07-02 03:15:00,0.16979821282415453,0.660403574351691,BUY,6.60403574351691,487.99,-755.34,1536.01,-8210.99576098688,343483.4724338163,-12.0,-1.0,True
2024-07-02 03:30:00,0.11584164574417517,0.7683167085116497,BUY,7.683167085116497,547.97,-816.3,1515.93,-10481.914359211883,333001.5580746044,64.0,1.0,False
2024-07-02 03:45:00,0.09498146276161983,0.8100370744767603,BUY,8.100370744767604,557.47,-520.7,1295.74,-8733.576725886089,324267.98134871834,-32.0,-1.0,True
2024-07-02 04:00:00,0.13606899016412619,0.7278620196717476,BUY,7.278620196717476,609.83,-482.77,-1436.39,-7952.620426933514,316315.3609217848,132.0,1.0,False
2024-07-02 04:15:00,0.11399575604955606,0.7720084879008879,BUY,7.72008487900888,644.52,956.1,1058.16,2405.424046601587,318720.7849683864,-40.0,-1.0,True
2024-07-02 04:30:00,0.10360248545604502,0.79279502908791,BUY,7.9279502908790995,750.58,-86.38,1152.67,-6635.3772754541715,312085.40769293223,-72.0,-1.0,True
2024-07-02 04:45:00,0.2063783926471583,0.5872432147056834,BUY,5.872432147056834,702.16,1057.66,1057.66,2087.649628278705,314173.0573212109,-204.0,-1.0,True
2024-07-02 05:00:00,0.2257669232406442,0.5484661535187116,BUY,5.484661535187117,647.06,985.69,999.09,1857.270935660414,316030.3282568713,-60.0,-1.0,True
2024-07-02 05:15:00,0.310670477401743,0.37865904519651405,BUY,3.7865904519651403,613.17,-149.96,999.09,-2889.6607716081576,313140.66748526314,-56.0,-1.0,True
2024-07-02 05:30:00,0.19740991538966146,0.6051801692206771,BUY,6.051801692206771,506.11,30.0,941.26,-2881.323303676566,310259.3441815866,8.0,1.0,False
2024-07-02 05:45:00,0.3298531189306439,0.3402937621387122,BUY,3.402937621387122,455.64,-535.03,1245.62,-3371.18821337958,306888.155968207,24.0,1.0,False
2024-07-02 06:00:00,0.22334375410165322,0.5533124917966936,BUY,5.533124917966936,810.36,-690.82,891.42,-8306.216464353605,298581.9395038534,8.0,1.0,False
2024-07-02 06:15:00,0.18746985025684298,0.625060299486314,BUY,6.25060299486314,607.74,-532.09,-63.43,-7124.624811634852,291457.31469221856,160.0,1.0,False
2024-07-02 06:30:00,0.15439265535698074,0.6912146892860385,BUY,6.912146892860385,451.02,-3846.03,2481.77,-29701.840805965716,261755.47388625285,192.0,1.0,False
2024-07-02 06:45:00,0.2417258443376013,0.5165483113247974,BUY,5.165483113247974,420.06,-5154.73,1855.83,-28796.48360490367,232958.99028134916,228.0,1.0,False
2024-07-02 07:00:00,0.2144478801987945,0.5711042396024111,BUY,5.71104239602411,753.62,-89.62,695.35,-4815.779390023371,228143.21089132578,52.0,1.0,False
2024-07-02 07:15:00,0.33978924551906875,0.3204215089618625,BUY,3.204215089618625,647.41,-280.63,-280.63,-2973.6397717696686,225169.57111955612,120.0,1.0,False
2024-07-02 07:30:00,0.44778180783428456,0.10443638433143088,BUY,1.0443638433143088,476.6,-90.27,-90.27,-592.0185318595823,224577.55258769653,96.0,1.0,False
2024-07-02 07:45:00,0.3887208530635081,0.22255829387298376,BUY,2.2255829387298376,269.21,30.0,30.0,-532.3816947735644,224045.17089292296,96.0,1.0,False
2024-07-02 08:00:00,0.5572046914083569,0.11440938281671387,SELL,1.1440938281671387,521.19,1839.66,1839.66,-1508.4533896235273,222536.71750329944,-132.0,-1.0,False
2024-07-02 08:15:00,0.6864017819712075,0.372803563942415,SELL,3.72803563942415,542.94,882.18,882.18,-1264.6988103182482,221272.0186929812,-80.0,-1.0,False
2024-07-02 08:30:00,0.74369371331809,0.48738742663617995,SELL,4.873874266361799,436.58,882.18,882.18,-2171.7983730908177,219100.22031989036,-176.0,-1.0,False
2024-07-02 08:45:00,0.6070873572382882,0.21417471447657643,SELL,2.1417471447657643,436.83,1281.78,1281.78,-1809.6692499698327,217290.55106992053,-112.0,-1.0,False
2024-07-02 09:00:00,0.45672277293263475,0.08655445413473051,BUY,0.8655445413473051,574.3,814.13,814.13,207.5835473513242,217498.13461727186,-260.0,-1.0,True
2024-07-02 09:15:00,0.2898015172963525,0.420396965407295,BUY,4.203969654072949,446.09,815.03,815.03,1551.012564173674,219049.14718144553,-308.0,-1.0,True
2024-07-02 09:30:00,0.29354524990436276,0.4129095001912745,BUY,4.129095001912745,481.67,842.79,842.79,1491.0987870907302,220540.24596853627,-332.0,-1.0,True
2024-07-02 09:45:00,0.1730537259224197,0.6538925481551606,BUY,6.5389254815516065,459.08,836.86,836.86,2470.275268420566,223010.52123695685,-512.0,-1.0,True
2024-07-02 10:00:00,0.10061374175248373,0.7987725164950326,BUY,7.987725164950326,373.42,1047.81,1047.81,5386.841973990849,228397.3632109477,-552.0,-1.0,True
2024-07-02 10:15:00,0.10028872946378238,0.7994225410724353,BUY,7.994225410724352,411.15,964.54,964.54,4423.924400040749,232821.28761098842,-692.0,-1.0,True
2024-07-02 10:30:00,0.12102942519852429,0.7579411496029514,BUY,7.579411496029515,425.43,2551.83,2551.83,16116.86060515716,248938.14821614558,-768.0,-1.0,True
2024-07-02 10:45:00,0.1108373279770197,0.7783253440459605,BUY,7.783253440459605,405.28,1814.24,1814.24,10966.292767469966,259904.44098361555,-808.0,-1.0,True
2024-07-02 11:00:00,0.11281219072524454,0.774375618549511,BUY,7.74375618549511,438.32,1120.8,1120.8,5284.958721476703,265189.39970509225,-732.0,-1.0,True
2024-07-02 11:15:00,0.09497733590397943,0.8100453281920411,BUY,8.10045328192041,388.75,873.23,873.23,3924.5076060248007,269113.90731111704,-620.0,-1.0,True
2024-07-02 11:30:00,0.06483008013320259,0.8703398397335949,BUY,8.703398397335949,395.12,873.23,873.23,4161.18180775029,273275.08911886736,-556.0,-1.0,True
2024-07-02 11:45:00,0.06838638415946541,0.8632272316810692,BUY,8.632272316810692,329.68,872.23,872.23,4683.439345485641,277958.528464353,-540.0,-1.0,True
2024-07-02 12:00:00,0.0492074111121209,0.9015851777757582,BUY,9.015851777757582,369.29,896.94,896.94,4757.214190533789,282715.7426548868,-452.0,-1.0,True
2024-07-02 12:15:00,0.04983680231092311,0.9003263953781537,BUY,9.003263953781538,373.97,904.69,904.69,4778.212245550938,287493.95490043773,-304.0,-1.0,True
2024-07-02 12:30:00,0.04679359494996105,0.9064128101000779,BUY,9.06412810100078,410.6,896.94,896.94,4408.24806064072,291902.20296107844,-292.0,-1.0,True
2024-07-02 12:45:00,0.04484945966558124,0.9103010806688375,BUY,9.103010806688376,485.85,896.94,896.94,3742.1567125215247,295644.35967359995,-324.0,-1.0,True
2024-07-02 13:00:00,0.04866931925473307,0.9026613614905339,BUY,9.026613614905338,354.86,937.85,937.85,5262.425471353663,300906.7851449536,-304.0,-1.0,True
2024-07-02 13:15:00,0.04383005226818785,0.9123398954636243,BUY,9.123398954636242,357.2,937.85,937.85,5297.501603009535,306204.2867479631,-292.0,-1.0,True
2024-07-02 13:30:00,0.037080253267811225,0.9258394934643775,BUY,9.258394934643775,418.52,937.82,937.82,4807.8844895605125,311012.1712375236,-372.0,-1.0,True
2024-07-02 13:45:00,0.0406529749304176,0.9186940501391648,BUY,9.186940501391648,439.12,937.84,937.84,4581.710966854043,315593.8822043777,-300.0,-1.0,True
2024-07-02 14:00:00,0.06669305445144168,0.8666138910971166,BUY,8.666138910971167,444.5,960.62,960.62,4472.767614730439,320066.64981910813,-216.0,-1.0,True
2024-07-02 14:15:00,0.06985045753013674,0.8602990849397265,BUY,8.602990849397266,367.1,960.61,960.61,5105.961099025771,325172.6109181339,-256.0,-1.0,True
2024-07-02 14:30:00,0.04939089560108036,0.9012182087978393,BUY,9.012182087978394,443.5,960.73,960.73,4661.370941365065,329833.981859499,-440.0,-1.0,True
2024-07-02 14:45:00,0.061234452462285746,0.8775310950754285,BUY,8.775310950754285,639.2,966.89,966.89,2875.581645452671,332709.56350495166,-548.0,-1.0,True
2024-07-02 15:00:00,0.07415924872134547,0.851681502557309,BUY,8.51681502557309,332.51,971.08,971.08,5438.582570880209,338148.14607583184,-388.0,-1.0,True
2024-07-02 15:15:00,0.05306145441727425,0.8938770911654514,BUY,8.938770911654515,429.37,970.92,970.92,4840.791387206503,342988.93746303837,-408.0,-1.0,True
2024-07-02 15:30:00,0.07128049869782375,0.8574390026043525,BUY,8.574390026043524,473.16,971.06,971.06,4269.18879396707,347258.12625700544,-484.0,-1.0,True
2024-07-02 15:45:00,0.07042864728251484,0.8591427054349703,BUY,8.591427054349703,564.84,972.14,972.14,3499.2882392366337,350757.41449624207,-544.0,-1.0,True
2024-07-02 16:00:00,0.09521679504978826,0.8095664099004235,BUY,8.095664099004235,349.24,987.61,987.61,5168.029090881334,355925.4435871234,-300.0,-1.0,True
